,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,ls
2,-0.26933031378432926,0.24272950345454003,-0.09079336848499137,0.06419255815520228,0.0,0.0,-0.2854124748490945,m_a=0,MSM,plugin,0.0
3,-0.1252619230091241,0.027707817321726603,-0.1252619230091241,0.02770781732172664,0.0,0.0,-0.28549997055298315,m_a=1,MSM,plugin,0.0
4,-0.19743366681420654,0.13513366681420655,-0.10809377938641791,0.04579377938641791,0.0,0.0,-0.2871,m_u,MSM,plugin,0.0
0,-0.22068932094519308,0.10562801950446628,-0.1426263286743374,0.02927744691962983,0.0,0.0,-0.5576656775469833,m_y=1,MSM,plugin,0.0
1,-0.16642183324189858,0.1645635287202993,-0.07685077685917871,0.08847990002049444,0.0,0.0,0.18842422214787552,m_y=0,MSM,plugin,0.0
2,-0.26706113452391295,0.2437455796623313,-0.08697159870240163,0.06365604384081998,0.0,0.0,-0.2792194928684628,m_a=0,MSM,plugin,0.0
3,-0.12340354106087739,0.030044008169864855,-0.12340354106087739,0.03004400816986482,0.0,0.0,-0.2844779143938465,m_a=1,MSM,plugin,0.0
4,-0.19589642406176247,0.1378964240617625,-0.10498722637906358,0.046987226379063565,0.0,0.0,-0.28174999999999994,m_u,MSM,plugin,0.0
0,-0.21933518270011448,0.10415662720715976,-0.1419787424375863,0.02879606979604199,0.0,0.0,-0.5472762645914396,m_y=1,MSM,plugin,0.0
1,-0.15841677309122212,0.17027479159396192,-0.06843015941147679,0.09517162748937194,0.0,0.0,0.19528936742934047,m_y=0,MSM,plugin,0.0
2,-0.2684854007573284,0.24042188306624404,-0.09092906891165906,0.0628655512205746,0.0,0.0,-0.28506282934738547,m_a=0,MSM,plugin,0.0
3,-0.12524910517254123,0.024315442344169668,-0.12524910517254126,0.024315442344169637,0.0,0.0,-0.28213088575029466,m_a=1,MSM,plugin,0.0
4,-0.19666581958133228,0.13166581958133222,-0.10826939977196573,0.04326939977196573,0.0,0.0,-0.28574999999999995,m_u,MSM,plugin,0.0
0,-0.22126973020433233,0.10159300934367832,-0.14503670755139164,0.027071212760974118,0.0,0.0,-0.5524271844660193,m_y=1,MSM,plugin,0.0
1,-0.163314117234112,0.16389641222153797,-0.07525893710407092,0.0895679972151204,0.0,0.0,0.1911784511784512,m_y=0,MSM,plugin,0.0
2,-0.2656320778913336,0.2390671536559731,-0.09021465898857482,0.06364973475321437,0.0,0.0,-0.2872866808037968,m_a=0,MSM,plugin,0.0
3,-0.12324028312369553,0.027472146345361704,-0.12324028312369543,0.027472146345361752,0.0,0.0,-0.2814639499380017,m_a=1,MSM,plugin,0.0
4,-0.19369510498715453,0.13219510498715453,-0.10683717001745355,0.04533717001745356,0.0,0.0,-0.2842,m_u,MSM,plugin,0.0
0,-0.21932352531338478,0.10333078923154297,-0.14246673163014467,0.028441043793204595,0.0,0.0,-0.38718031725477503,m_y=1,MSM,plugin,0.2
1,-0.16821106571990113,0.1590485557590458,-0.08088095839143462,0.08438365367691994,0.4,0.0,0.1603964693966141,m_y=0,MSM,plugin,0.2
2,-0.27076067968297635,0.2369064349817851,-0.09563368253346183,0.06177943783227061,1.0,0.0,-0.23630956385055066,m_a=0,MSM,plugin,0.2
3,-0.114945947157532,0.03810691125192702,-0.114945947157532,0.038106911251927014,0.0,0.0,-0.23134726500492286,m_a=1,MSM,plugin,0.2
4,-0.19169180200552588,0.1365918020055259,-0.10371675498746728,0.04861675498746727,0.0,0.0,-0.23045,m_u,MSM,plugin,0.2
0,-0.22741390956916296,0.0957596775767203,-0.15092816114492966,0.0194568214133839,0.0,0.0,-0.39555773313735104,m_y=1,MSM,plugin,0.2
1,-0.1686857966619809,0.1603331534181228,-0.07994172888454151,0.08433713644906143,0.0,0.0,0.16963320602435686,m_y=0,MSM,plugin,0.2
2,-0.2644006325238508,0.24128036721647866,-0.0869500840983958,0.06382981879102372,1.0,0.0,-0.2397286266858857,m_a=0,MSM,plugin,0.2
3,-0.12743686767967985,0.023372991355231076,-0.12743686767967985,0.023372991355231,0.0,0.0,-0.24051163270208545,m_a=1,MSM,plugin,0.2
4,-0.19588010631539748,0.13258010631539746,-0.10648939254607452,0.043189392546074505,0.0,0.0,-0.23879999999999998,m_u,MSM,plugin,0.2
0,-0.2153230135827761,0.10953224608975072,-0.13782229594460124,0.03489844077599598,0.0,0.0,-0.3861614497528831,m_y=1,MSM,plugin,0.2
1,-0.15721388571962724,0.17315717479614706,-0.0676594662093743,0.09886860277267569,0.0,0.0,0.18054558506819812,m_y=0,MSM,plugin,0.2
2,-0.2661951203596216,0.24223864476519127,-0.09003033901735998,0.06607386342292967,1.0,0.0,-0.23831356200699005,m_a=0,MSM,plugin,0.2
3,-0.1263455263104357,0.026429283212424725,-0.12634552631043566,0.026429283212424753,0.0,0.0,-0.2408958306008278,m_a=1,MSM,plugin,0.2
4,-0.19701490194689522,0.13471490194689517,-0.1082630851066638,0.04596308510666379,0.0,0.0,-0.24295,m_u,MSM,plugin,0.2
0,-0.20989338540779126,0.11606733309849049,-0.13185315385817037,0.04204689602135308,0.0,0.0,-0.38543897216274087,m_y=1,MSM,plugin,0.2
1,-0.1527666601700066,0.17951681402155845,-0.06287857693870222,0.1059803429735086,0.2,0.0,0.18228157082346186,m_y=0,MSM,plugin,0.2
2,-0.2717707324839241,0.23963324293663066,-0.09536454344125754,0.06322705389396402,1.0,0.0,-0.23714726848658066,m_a=0,MSM,plugin,0.2
3,-0.12392796227882208,0.0326002777485644,-0.12392796227882204,0.03260027774856439,0.0,0.0,-0.24302657945657105,m_a=1,MSM,plugin,0.2
4,-0.19912077344856133,0.13722077344856137,-0.10962109343776445,0.04772109343776446,0.0,0.0,-0.24394999999999997,m_u,MSM,plugin,0.2
0,-0.22522435558396325,0.09780234176022304,-0.14897270991846193,0.02218840236467032,0.0,0.0,-0.3929101401483924,m_y=1,MSM,plugin,0.2
1,-0.16794004387905326,0.15997475014866738,-0.07980565569486897,0.08460587387918422,0.0,0.0,0.16397560100466455,m_y=0,MSM,plugin,0.2
2,-0.26434699108537024,0.23789091543138877,-0.08911033974994506,0.06265426409596385,1.0,0.0,-0.23477583576266356,m_a=0,MSM,plugin,0.2
3,-0.1242083178193556,0.02769198772911441,-0.1242083178193556,0.027691987729114343,0.0,0.0,-0.23588781765621264,m_a=1,MSM,plugin,0.2
4,-0.1942468283437758,0.13314682834377575,-0.1056647010937184,0.044564701093718406,0.0,0.0,-0.2334,m_u,MSM,plugin,0.2
0,-0.22125568285615618,0.10108464874799106,-0.14523713620378442,0.026662182893037633,0.0,0.0,-0.3886134655365425,m_y=1,MSM,plugin,0.2
1,-0.15823672803171746,0.17163415689178646,-0.06931775332974575,0.09767374682840531,0.2,0.0,0.17371062777333238,m_y=0,MSM,plugin,0.2
2,-0.27673382945118485,0.23350800888694484,-0.09970612041245837,0.05648029984821838,1.0,0.0,-0.24295614080899988,m_a=0,MSM,plugin,0.2
3,-0.12469423871201832,0.029595919679757055,-0.12469423871201823,0.029595919679757075,0.0,0.0,-0.2404317935209015,m_a=1,MSM,plugin,0.2
4,-0.20024074367473332,0.13104074367473337,-0.11186851132260107,0.04266851132260107,0.0,0.0,-0.24089999999999998,m_u,MSM,plugin,0.2
0,-0.227447644551903,0.09514440939860627,-0.1508176140624366,0.018548455469394216,0.0,0.0,-0.4077162007520026,m_y=1,MSM,plugin,0.2
1,-0.15964183799810278,0.17039055976948086,-0.06876558222413592,0.09422362109072101,0.2,0.0,0.173449542606065,m_y=0,MSM,plugin,0.2
2,-0.2795595523183839,0.23526040651851415,-0.09856013687165663,0.0542609910717868,1.0,0.0,-0.2474190338892889,m_a=0,MSM,plugin,0.2
3,-0.12783152217960608,0.02357906130553915,-0.12783152217960597,0.023579061305539172,0.0,0.0,-0.24612805743320082,m_a=1,MSM,plugin,0.2
4,-0.20332601266264408,0.12922601266264405,-0.11239190634220826,0.03829190634220825,0.0,0.0,-0.24509999999999996,m_u,MSM,plugin,0.2
0,-0.201207763553581,0.12343296608774974,-0.12246192217347725,0.050524131269162366,0.0,0.0,-0.3749594550762244,m_y=1,MSM,plugin,0.2
1,-0.14657803678839118,0.18546612199986956,-0.056657764369833864,0.11312118053307174,1.0,0.0,0.180641896776059,m_y=0,MSM,plugin,0.2
2,-0.2785409488751288,0.23245297424827824,-0.1038069352375414,0.057718960610690886,1.0,0.0,-0.2359359650731018,m_a=0,MSM,plugin,0.2
3,-0.11535404218412071,0.041941494580067906,-0.11535404218412067,0.0419414945800679,0.0,0.0,-0.23801947200798934,m_a=1,MSM,plugin,0.2
4,-0.197491291595628,0.13759129159562805,-0.10956513593319406,0.04966513593319406,0.0,0.0,-0.24054999999999999,m_u,MSM,plugin,0.2
0,-0.2113314017898015,0.1126717572000719,-0.13365841336884837,0.03892112180817622,0.0,0.0,-0.37536514118792597,m_y=1,MSM,plugin,0.2
1,-0.16436132868918954,0.16431054620960692,-0.07714746042217369,0.09080687613551296,0.2,0.0,0.16953316953316952,m_y=0,MSM,plugin,0.2
2,-0.2641110963472315,0.24168928800979644,-0.08964792182213276,0.06722611348469776,1.0,0.0,-0.23449277635544333,m_a=0,MSM,plugin,0.2
3,-0.11555777494654422,0.03747542456698434,-0.11555777494654426,0.03747542456698431,0.0,0.0,-0.23018120353042856,m_a=1,MSM,plugin,0.2
4,-0.1892053284097094,0.13860532840970952,-0.1027501022737968,0.052150102273796815,0.0,0.0,-0.23295,m_u,MSM,plugin,0.2
0,-0.22287600581765377,0.10159551201910247,-0.1463354875520953,0.026342156094397585,0.0,0.0,-0.40062882674168454,m_y=1,MSM,plugin,0.2
1,-0.16344858233850296,0.1658103754387819,-0.07455747183935205,0.09080921808228812,0.0,0.0,0.17654223687038761,m_y=0,MSM,plugin,0.2
2,-0.26465505813615753,0.24157228967908972,-0.0877984075399246,0.06471563908285696,1.0,0.0,-0.2427751068440039,m_a=0,MSM,plugin,0.2
3,-0.12764308140595743,0.024427974726189693,-0.12764308140595743,0.024427974726189718,0.0,0.0,-0.2440277272047297,m_a=1,MSM,plugin,0.2
4,-0.19643046308601667,0.13323046308601666,-0.10771916714694627,0.04451916714694626,0.0,0.0,-0.24425000000000002,m_u,MSM,plugin,0.2
0,-0.22645757449327691,0.09692822084581947,-0.15004396475805365,0.020902017501995055,0.0,0.0,-0.40013238457719674,m_y=1,MSM,plugin,0.2
1,-0.16725848951701067,0.16135364300583777,-0.07849565338523387,0.08559262082187673,0.0,0.0,0.17002221107687898,m_y=0,MSM,plugin,0.2
2,-0.2634220539092112,0.24023252110484022,-0.08666524151418764,0.06347570870981664,1.0,0.0,-0.23958051404100358,m_a=0,MSM,plugin,0.2
3,-0.12736496764493377,0.023562959225493164,-0.1273649676449337,0.023562959225493153,0.0,0.0,-0.24130744879474708,m_a=1,MSM,plugin,0.2
4,-0.1955392279534425,0.1323392279534425,-0.10649798370944936,0.04329798370944936,0.0,0.0,-0.23955,m_u,MSM,plugin,0.2
0,-0.22819371405562258,0.09462803427675125,-0.15158874498388858,0.018078333523316663,0.0,0.0,-0.3920370064430861,m_y=1,MSM,plugin,0.2
1,-0.17516907818965016,0.1505363909874738,-0.08754570707638039,0.07406529162791717,0.0,0.0,0.16175521617552163,m_y=0,MSM,plugin,0.2
2,-0.25545770692606323,0.24413647955376344,-0.08051775575971656,0.06919652838741679,1.0,0.0,-0.23497432799758391,m_a=0,MSM,plugin,0.2
3,-0.12337827589490795,0.02402313216006824,-0.12337827589490806,0.024023132160068093,0.0,0.0,-0.2325634230554779,m_a=1,MSM,plugin,0.2
4,-0.18878952596843981,0.13368952596843983,-0.10088220050735064,0.04578220050735067,0.0,0.0,-0.23145,m_u,MSM,plugin,0.2
0,-0.22048167013675987,0.10199324380141891,-0.14402584454703793,0.0269760557376884,0.0,0.0,-0.3921121251629726,m_y=1,MSM,plugin,0.2
1,-0.15588768495172628,0.1734877171276426,-0.06604274921565076,0.0989172501081748,0.4,0.0,0.17563473744950953,m_y=0,MSM,plugin,0.2
2,-0.2740024591094965,0.23454091751031472,-0.0959839817199212,0.05652244012073933,1.0,0.0,-0.2402845581490871,m_a=0,MSM,plugin,0.2
3,-0.12704259096766032,0.026152606558435144,-0.12704259096766032,0.02615260655843517,0.0,0.0,-0.24270750272020286,m_a=1,MSM,plugin,0.2
4,-0.20094599334987961,0.13084599334987962,-0.11145610476614012,0.0413561047661401,0.0,0.0,-0.24205000000000004,m_u,MSM,plugin,0.2
0,-0.219299573907558,0.1036794081698185,-0.1420734827025948,0.02837796868464746,0.0,0.0,-0.38455258001306336,m_y=1,MSM,plugin,0.2
1,-0.16331885334534024,0.16556681784273108,-0.07451492511336669,0.09059488660652353,0.2,0.0,0.17209570481406744,m_y=0,MSM,plugin,0.2
2,-0.26410845547301987,0.24031283183183721,-0.08770782645506618,0.06391220281388363,1.0,0.0,-0.2362972224284782,m_a=0,MSM,plugin,0.2
3,-0.12390546140627745,0.02702576452055403,-0.12390546140627734,0.027025764520554097,0.0,0.0,-0.2367246282442626,m_a=1,MSM,plugin,0.2
4,-0.19413151910718104,0.13373151910718103,-0.10581654418934257,0.04541654418934256,0.0,0.0,-0.23714999999999997,m_u,MSM,plugin,0.2
0,-0.2186899509104912,0.1062466973949459,-0.14186986333975882,0.031605435065978335,0.0,0.0,-0.39520860495436766,m_y=1,MSM,plugin,0.2
1,-0.15611384886232163,0.17627709076625242,-0.0663228543019778,0.10218127471331151,0.2,0.0,0.17830351990767457,m_y=0,MSM,plugin,0.2
2,-0.2764720441743844,0.2356952801403484,-0.09823296787994983,0.05745620384591378,1.0,0.0,-0.2419891367414253,m_a=0,MSM,plugin,0.2
3,-0.1266384876264902,0.030190851978488076,-0.12663848762649013,0.030190851978488142,0.0,0.0,-0.24592782509033412,m_a=1,MSM,plugin,0.2
4,-0.20224588925237735,0.1337458892523772,-0.11235101112327919,0.04385101112327916,0.0,0.0,-0.24485,m_u,MSM,plugin,0.2
0,-0.2116149679702591,0.11362110317372325,-0.13355854234122275,0.03929182524544119,0.0,0.0,-0.37732740154885486,m_y=1,MSM,plugin,0.2
1,-0.16034055624469898,0.16910216458691607,-0.07169887776863518,0.09501214042307222,0.6,0.0,0.17041131289928937,m_y=0,MSM,plugin,0.2
2,-0.2657411370366072,0.24003018124930658,-0.09048155426147798,0.06477059847417739,1.0,0.0,-0.2308888670310206,m_a=0,MSM,plugin,0.2
3,-0.11831380091875714,0.03533691275498796,-0.11831380091875723,0.03533691275498787,0.0,0.0,-0.23221612623689697,m_a=1,MSM,plugin,0.2
4,-0.1923915380731595,0.13789153807315951,-0.10442875347832219,0.04992875347832215,0.0,0.0,-0.23320000000000002,m_u,MSM,plugin,0.2
0,-0.21595493285192252,0.10778472187837118,-0.1383332130624407,0.032707301858929394,0.0,0.0,-0.3772184575669571,m_y=1,MSM,plugin,0.2
1,-0.16541811383240548,0.165309211330033,-0.07736381583644066,0.09073478829523215,0.2,0.0,0.16983045935371682,m_y=0,MSM,plugin,0.2
