,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
3,-0.10076114476290657,0.025333515381122496,-0.10076114476290657,0.025333515381122485,1.0,1.0,-0.04035745814680897,m_a=1,IV,plugin,0.05
4,-0.18433063792011287,0.09233063792011294,-0.10925538626125213,0.01725538626125217,1.0,1.0,-0.044749999999999984,m_u,IV,plugin,0.05
0,-0.43746324007633064,-0.1251579258864904,-0.37385699053504967,-0.1902373580968451,1.0,1.0,-0.2523091881380652,m_y=1,IV,plugin,0.05
1,-0.3514625841491106,-0.02783389691894995,-0.27187841496214055,-0.10613881887921153,1.0,1.0,-0.1829130211013896,m_y=0,IV,plugin,0.05
2,-0.3493485389237516,0.2590513702998627,-0.20415241040662976,0.11385524178274078,1.0,1.0,-0.03253948225957426,m_a=0,IV,plugin,0.05
3,-0.10850498008156832,0.0053058869579311494,-0.10850498008156832,0.005305886957931114,1.0,1.0,-0.03540726590625204,m_a=1,IV,plugin,0.05
4,-0.17964229651842928,0.0792422965184293,-0.10732736471047677,0.006927364710476722,1.0,1.0,-0.040900000000000034,m_u,IV,plugin,0.05
0,-0.4258243982329636,-0.09122923248062983,-0.3563575047726168,-0.16210313605852303,1.0,1.0,-0.23798148701104807,m_y=1,IV,plugin,0.05
1,-0.36099374840536996,-0.023918482561338217,-0.2799913062188086,-0.10382825179831964,1.0,1.0,-0.1799457450015071,m_y=0,IV,plugin,0.05
2,-0.3456002253940157,0.2829509040004139,-0.19290789472865613,0.1302585733350542,1.0,1.0,-0.02749212121758693,m_a=0,IV,plugin,0.05
3,-0.09905946240593896,0.02425454312943609,-0.09905946240593898,0.024254543129436028,1.0,1.0,-0.02960509107760384,m_a=1,IV,plugin,0.05
4,-0.1713752586914939,0.10457525869149384,-0.0951741510729461,0.028374151072946135,1.0,1.0,-0.02999999999999998,m_u,IV,plugin,0.05
0,-0.38742827307026545,-0.12334039425721097,-0.33409683025207315,-0.1776947052067655,1.0,1.0,-0.2528223410576351,m_y=1,IV,plugin,0.05
1,-0.31159833887588606,-0.040706637124446624,-0.24715592627842006,-0.10441845166936596,1.0,1.0,-0.16865279741466369,m_y=0,IV,plugin,0.05
2,-0.3088905107881512,0.2006705309654752,-0.18771828248594993,0.07949830266327403,1.0,1.0,-0.04702713634465938,m_a=0,IV,plugin,0.05
3,-0.09101895223055086,0.012514712222778512,-0.09101895223055077,0.01251471222277859,1.0,1.0,-0.040086077469722814,m_a=1,IV,plugin,0.05
4,-0.15561088373149734,0.06911088373149732,-0.0949702420776607,0.008470242077660672,1.0,1.0,-0.04415000000000001,m_u,IV,plugin,0.05
0,-0.38574910923435884,-0.09232732490749537,-0.3234352649322799,-0.15573895164743548,1.0,1.0,-0.23089093246316622,m_y=1,IV,plugin,0.05
1,-0.31708205000277767,-0.020961881776506576,-0.24396600376198307,-0.09309470028024053,1.0,1.0,-0.17275209871548497,m_y=0,IV,plugin,0.05
2,-0.33983122823095024,0.2283788381209205,-0.19939360415852864,0.08794121404849886,1.0,1.0,-0.025138743210569525,m_a=0,IV,plugin,0.05
3,-0.08724273905600313,0.023402666632822068,-0.08724273905600313,0.02340266663282205,1.0,1.0,-0.030505572720761043,m_a=1,IV,plugin,0.05
4,-0.16160149145422054,0.08920149145422049,-0.0920427362511501,0.019642736251150074,1.0,1.0,-0.03135000000000002,m_u,IV,plugin,0.05
0,-0.4107343908220833,-0.11358771173729262,-0.34742053604655154,-0.17811480654621242,1.0,1.0,-0.2593023255813954,m_y=1,IV,plugin,0.05
1,-0.3322896533132909,-0.01742685500413752,-0.25318045960974256,-0.09557460026926134,1.0,1.0,-0.1653925619834711,m_y=0,IV,plugin,0.05
2,-0.357444745873322,0.230934151801201,-0.21226483744128838,0.08575424336916751,1.0,1.0,-0.0541405441186561,m_a=0,IV,plugin,0.05
3,-0.09604250879847051,0.014504049070236391,-0.09604250879847051,0.014504049070236388,1.0,1.0,-0.04408354956687094,m_a=1,IV,plugin,0.05
4,-0.17960154819430665,0.07630154819430673,-0.10664138521178826,0.0033413852117882476,1.0,1.0,-0.053750000000000006,m_u,IV,plugin,0.05
0,-0.4323846976207088,-0.09463813862416606,-0.36539694642058884,-0.163120624847548,1.0,1.0,-0.25447178574958,m_y=1,IV,plugin,0.05
1,-0.36187404502030873,-0.01658716420918711,-0.28150540313086464,-0.09576288438357751,1.0,1.0,-0.17498228924197956,m_y=0,IV,plugin,0.05
2,-0.37141863950666093,0.27525453003977596,-0.2210335738482661,0.12486946438138113,1.0,1.0,-0.0423840651516324,m_a=0,IV,plugin,0.05
3,-0.10322353122999554,0.028981485475251433,-0.1032235312299955,0.02898148547525143,1.0,1.0,-0.0386820301255002,m_a=1,IV,plugin,0.05
4,-0.1816432231769256,0.10094322317692557,-0.10646572885429399,0.025765728854294002,1.0,1.0,-0.042300000000000004,m_u,IV,plugin,0.05
0,-0.4155013307597333,-0.09503035093776938,-0.3518563276258674,-0.16023996799363444,1.0,1.0,-0.23952095808383236,m_y=1,IV,plugin,0.05
1,-0.3299044033102627,-0.01183959608962124,-0.25315037838612015,-0.0870391373125465,1.0,1.0,-0.16923847695390778,m_y=0,IV,plugin,0.05
2,-0.3559542286177518,0.25075756363287216,-0.21156280488293935,0.10636613989805974,1.0,1.0,-0.02872337128497765,m_a=0,IV,plugin,0.05
3,-0.10355632590762917,0.01920423604367555,-0.1035563259076292,0.019204236043675542,1.0,1.0,-0.03738692838645996,m_a=1,IV,plugin,0.05
4,-0.1744256583536632,0.09242565835366316,-0.10323346688121393,0.021233466881213924,1.0,1.0,-0.03555000000000001,m_u,IV,plugin,0.05
0,-0.42139591064295656,-0.10805211739887917,-0.3589302994044813,-0.17232504131608492,1.0,1.0,-0.25717667949097367,m_y=1,IV,plugin,0.05
1,-0.33941230088466334,-0.020127992535101648,-0.26273734179083663,-0.09584877663996849,1.0,1.0,-0.18118219608638345,m_y=0,IV,plugin,0.05
2,-0.3691861170187752,0.2396509448764065,-0.22501375765705833,0.09547858551468974,1.0,1.0,-0.036367491489931625,m_a=0,IV,plugin,0.05
3,-0.10092824017430568,0.0220874033026331,-0.10092824017430575,0.022087403302633042,1.0,1.0,-0.0390131026238959,m_a=1,IV,plugin,0.05
4,-0.1790537346242579,0.08845373462425786,-0.10587905363021852,0.015279053630218507,1.0,1.0,-0.04100000000000001,m_u,IV,plugin,0.05
0,-0.3908127086137244,-0.1060238271446299,-0.3330811132228154,-0.16511494929980736,1.0,1.0,-0.24272610711115492,m_y=1,IV,plugin,0.05
1,-0.31078888967880314,-0.020070795314758527,-0.24045793886117212,-0.08952586160158085,1.0,1.0,-0.1673258290234256,m_y=0,IV,plugin,0.05
2,-0.3372199042586812,0.21043081582619222,-0.2041781998553763,0.07738911142288739,1.0,1.0,-0.03783652997573972,m_a=0,IV,plugin,0.05
3,-0.09491202089747545,0.017747006755928885,-0.09491202089747554,0.017747006755928812,1.0,1.0,-0.0377172650425916,m_a=1,IV,plugin,0.05
4,-0.1674901122480169,0.07829011224801691,-0.10070982872277803,0.011509828722778028,1.0,1.0,-0.04055,m_u,IV,plugin,0.05
0,-0.3838735565320183,-0.11927005270846788,-0.3295429653793386,-0.17459255510430802,1.0,1.0,-0.24549127821030853,m_y=1,IV,plugin,0.05
1,-0.30893672659804194,-0.03972702496096545,-0.24391829464404066,-0.10395224087809926,1.0,1.0,-0.18430934740688115,m_y=0,IV,plugin,0.05
2,-0.32594898203779693,0.19636295249954788,-0.20234870457337598,0.07276267503512682,1.0,1.0,-0.028650534677730488,m_a=0,IV,plugin,0.05
3,-0.08468244127720312,0.01783528069635263,-0.08468244127720312,0.01783528069635267,1.0,1.0,-0.03130359141176964,m_a=1,IV,plugin,0.05
4,-0.15428475478017395,0.07178475478017392,-0.09262675636704747,0.010126756367047463,1.0,1.0,-0.03375,m_u,IV,plugin,0.05
0,-0.3932389361332095,-0.10349533296488193,-0.3342621905190876,-0.16374079937701608,1.0,1.0,-0.25021863764454383,m_y=1,IV,plugin,0.05
1,-0.3072675094538524,-0.0056621955194377845,-0.2334224428464174,-0.0783782643325595,1.0,1.0,-0.16551653105366151,m_y=0,IV,plugin,0.05
2,-0.37848491542484775,0.20396322204978726,-0.23932547306011726,0.06480377968505673,1.0,1.0,-0.044811888117749554,m_a=0,IV,plugin,0.05
3,-0.09456834210070282,0.021739045833568383,-0.09456834210070278,0.021739045833568393,1.0,1.0,-0.04117162591799034,m_a=1,IV,plugin,0.05
4,-0.1801671441916525,0.07516714419165248,-0.110990985392145,0.00599098539214496,1.0,1.0,-0.04840000000000001,m_u,IV,plugin,0.05
