g,s,metric,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,selection_rate,size
_Population,12,m_u,-0.20700218923794705,0.06836814234701927,-0.1297345528294373,-0.008899494061490335,1.0,0.0,0.011722731906218142,0.19520897043832824,1.0
_Population,12,m_y=0,0.371497017420264,0.5184761469187881,0.37409836976309685,0.5164612911451052,0.0,0.0,0.29620973192160394,0.19520897043832824,1.0
_Population,12,m_y=1,0.13028844903626152,0.2955244868818765,0.1672901750549321,0.26475197217332513,1.0,1.0,0.2038109860583711,0.19520897043832824,1.0
_Population,13,m_a=0,-0.2609239894368478,0.0256409273118971,-0.17523913007635492,-0.06004393204859577,0.5,0.0,0.015813828279817033,0.18246687054026503,1.0
_Population,13,m_a=1,-0.30726828482726437,-0.17050278137889024,-0.30726828482726437,-0.1705027813788903,1.0,1.0,-0.2322902159612547,0.18246687054026503,1.0
_Population,13,m_u,-0.19590471484384916,0.06644497987952708,-0.1258545036235482,-0.0036052313407739234,1.0,0.0,0.0361875637104995,0.18246687054026503,1.0
_Population,13,m_y=0,0.38700879037766733,0.5309332476897894,0.38961960067057283,0.5289316730506244,0.0,0.0,0.29546388163620535,0.18246687054026503,1.0
_Population,13,m_y=1,0.1508731006092011,0.31204372420934146,0.18478206259213054,0.28408438288399684,1.0,1.0,0.24516540282790822,0.18246687054026503,1.0
_Population,14,m_a=0,-0.29038542979865767,0.013108021089373034,-0.1998040866521702,-0.07747332205711434,0.5,0.0,0.015472441791381769,0.19164118246687054,1.0
_Population,14,m_a=1,-0.24957432145646002,-0.09923335436722813,-0.24957432145646008,-0.09923335436722816,1.0,1.0,-0.21906074031722533,0.19164118246687054,1.0
_Population,14,m_u,-0.20525515884275336,0.0737566878947411,-0.13201205965568621,0.0005135887076739981,1.0,0.0,0.036187563710499485,0.19164118246687054,1.0
_Population,14,m_y=0,0.38769832357704115,0.5320921158795624,0.39032001463166366,0.5300875081656322,0.0,0.0,0.2795438295438295,0.19164118246687054,1.0
_Population,14,m_y=1,0.15779355073102655,0.3186577766623909,0.19072464651746338,0.29163390681611867,1.0,1.0,0.23069594743141902,0.19164118246687054,1.0
_Population,15,m_a=0,-0.28935122772211647,0.02487735020534465,-0.19401462831746524,-0.0704592491993066,0.5,0.0,0.007179742933013655,0.19724770642201833,1.0
_Population,15,m_a=1,-0.2432715352548248,-0.09942035535626487,-0.2432715352548249,-0.09942035535626494,1.0,1.0,-0.22367865546972499,0.19724770642201833,1.0
_Population,15,m_u,-0.20623361557391678,0.07575451261774963,-0.1297039485770677,-0.0007751543790994742,1.0,0.0,0.03363914373088686,0.19724770642201833,1.0
_Population,15,m_y=0,0.3815300762368334,0.5217715318457357,0.38371578643273296,0.5200699423226294,0.0,0.0,0.29624943900212014,0.19724770642201833,1.0
_Population,15,m_y=1,0.15705299656350036,0.31435533044586306,0.19020459417293417,0.28683912982067217,1.0,1.0,0.224515606230065,0.19724770642201833,1.0
_Population,16,m_a=0,-0.2986060964114936,0.1102146744360265,-0.16639622220616945,-0.021995199769297757,1.0,0.0,0.011896481397458275,0.18807339449541283,1.0
_Population,16,m_a=1,-0.19014762619760112,-0.02767423996476709,-0.19014762619760112,-0.02767423996476708,0.5,0.5,-0.22226284656398693,0.18807339449541283,1.0
_Population,16,m_u,-0.24058074787091932,0.11519848487397744,-0.13325838480467905,0.007876121807737141,1.0,0.0,0.028542303771661573,0.18807339449541283,1.0
_Population,16,m_y=0,0.31411742282565785,0.4472735290019394,0.31668521087548007,0.4452011327715707,0.0,0.0,0.2780678851174935,0.18807339449541283,1.0
_Population,16,m_y=1,0.14810589350998501,0.30009418328957205,0.17889045151730837,0.27415960593703326,1.0,1.0,0.22491638795986624,0.18807339449541283,1.0
_Population,17,m_a=0,-0.2972066506625082,0.08281601647785736,-0.17464040905789646,-0.039750225126754454,1.0,0.0,0.017160870019780367,0.19724770642201833,1.0
_Population,17,m_a=1,-0.23972238838715354,-0.08988627071068728,-0.2397223883871536,-0.08988627071068742,1.0,1.0,-0.2146502151004263,0.19724770642201833,1.0
_Population,17,m_u,-0.2360803212233969,0.09234943437324394,-0.13769348619706023,-0.006037400653092634,1.0,0.0,0.037206931702344556,0.19724770642201833,1.0
_Population,17,m_y=0,0.33511200842287125,0.47553507834553643,0.33726050911783256,0.47382470661282894,0.0,0.0,0.27073886757353793,0.19724770642201833,1.0
_Population,17,m_y=1,0.12937953822453502,0.2896958387802796,0.16472539863884303,0.2600103468474788,1.0,1.0,0.22456493986427467,0.19724770642201833,1.0
_Population,18,m_a=0,-0.24115347375680876,0.003139058704655917,-0.17021042188973154,-0.06780399316242128,0.0,0.0,0.013002546875970578,0.17889908256880732,1.0
_Population,18,m_a=1,-0.31587535821136886,-0.18981806281145108,-0.3158753582113688,-0.18981806281145108,0.5,0.5,-0.2313480952659578,0.17889908256880732,1.0
_Population,18,m_u,-0.17345795519481308,0.05521126814078656,-0.11525395682318298,-0.002992730230843524,1.0,0.0,0.037716615698267064,0.17889908256880732,1.0
_Population,18,m_y=0,0.40377726818388615,0.5426409089597369,0.4065717621524245,0.5404973493686003,0.0,0.0,0.29866666666666664,0.17889908256880732,1.0
_Population,18,m_y=1,0.16136252425423733,0.3150636720148392,0.19305203222117712,0.28886836110191905,1.0,1.0,0.24587458745874585,0.17889908256880732,1.0
_Population,19,m_a=0,-0.27244166775078704,0.07387054712774446,-0.1667179530272535,-0.03185316759578911,1.0,0.5,0.012298979751517142,0.18093781855249746,1.0
_Population,19,m_a=1,-0.2729220747870396,-0.12278047260131308,-0.27292207478703967,-0.1227804726013132,1.0,1.0,-0.22977587585148262,0.18093781855249746,1.0
_Population,19,m_u,-0.21608634127115411,0.09274281425790237,-0.12946835192773126,0.006124824914479493,1.0,0.0,0.04026503567787973,0.18093781855249746,1.0
_Population,19,m_y=0,0.36207737782342386,0.5070942421752722,0.3645661856388876,0.5051571791433329,0.0,0.0,0.3056093197847476,0.18093781855249746,1.0
_Population,19,m_y=1,0.1563412036629989,0.31952523379538234,0.18962739449192925,0.2921756811957352,1.0,1.0,0.2492442482611022,0.18093781855249746,1.0
x_black_65+ y.o.,0,m_a=0,-0.4273470994918064,-0.06777840450140654,-0.30482692720740806,-0.19029857678580492,0.0,0.0,0.01928553267226036,0.41646191646191644,0.03567787971457696
x_black_65+ y.o.,0,m_a=1,-0.11414403804456502,-0.014635860625316632,-0.114144038044565,-0.01463586062531664,0.5,0.5,0.0,0.41646191646191644,0.03567787971457696
x_black_65+ y.o.,0,m_u,-0.25082079414981723,-0.005526462197439241,-0.179718086627657,-0.07662916971959935,0.0,0.0,0.09950859950859951,0.41646191646191644,0.03567787971457696
x_black_65+ y.o.,0,m_y=0,0.36044399659933185,0.48924287141923595,0.36044399659933185,0.48924287141923595,0.0,0.0,0.0,0.41646191646191644,0.03567787971457696
x_black_65+ y.o.,0,m_y=1,0.005469961140701307,0.1424003323591967,0.04623341889704199,0.10612897716810876,0.5,0.5,0.10569852941176472,0.41646191646191644,0.03567787971457696
x_black_65+ y.o.,1,m_a=0,-0.41542101250698715,-0.005621014688881376,-0.28831986891606354,-0.132722158279805,0.0,0.0,0.04627116304747883,0.41482391482391484,0.03567787971457696
x_black_65+ y.o.,1,m_a=1,-0.0811326440144759,0.02288804849185322,-0.08113264401447591,0.022888048491853323,1.0,1.0,0.0,0.41482391482391484,0.03567787971457696
x_black_65+ y.o.,1,m_u,-0.22193967938939502,0.04994950739922305,-0.14776505507897073,-0.024225116911201272,0.0,0.0,0.16707616707616707,0.41482391482391484,0.03567787971457696
x_black_65+ y.o.,1,m_y=0,0.39014636394382846,0.5141196299169326,0.39014636394382846,0.5141196299169326,0.0,0.0,0.0,0.41482391482391484,0.03567787971457696
