,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
2,-0.6178396880615453,0.6430781966876751,-0.21660294024831955,0.24184144887444942,1.0,1.0,0.005995503956082948,m_a=0,IV,plugin,0.2
3,-0.19078082562745782,0.20708937218631807,-0.19078082562745785,0.20708937218631807,1.0,1.0,0.0037260361098640504,m_a=1,IV,plugin,0.2
4,-0.3877368083910035,0.4113368083910035,-0.18910455638606616,0.2127045563860661,1.0,1.0,0.006799999999999973,m_u,IV,plugin,0.2
0,-0.6417643486231814,0.3362403214803918,-0.44302385472567796,0.18507981939883517,1.0,1.0,-0.026187446988973705,m_y=1,IV,plugin,0.2
1,-0.6052280335439668,0.30291607986803554,-0.405690662512609,0.14962641662701587,1.0,1.0,-0.03832323996971992,m_y=0,IV,plugin,0.2
2,-0.6166365839970132,0.6535089752376518,-0.21866924100672755,0.25554163224736637,1.0,1.0,0.007367691814361144,m_a=0,IV,plugin,0.2
3,-0.20585265185204005,0.2035397720287068,-0.20585265185204005,0.2035397720287068,1.0,1.0,0.004924050700648219,m_a=1,IV,plugin,0.2
4,-0.39413129629952326,0.4133312962995232,-0.19693847784783677,0.21613847784783674,1.0,1.0,0.007900000000000004,m_u,IV,plugin,0.2
0,-0.606002863208462,0.30087740778175226,-0.4151984408195303,0.14413587177326634,1.0,1.0,-0.05046452702702704,m_y=1,IV,plugin,0.2
1,-0.5659086756153077,0.2908388393302874,-0.3655082828801427,0.13291598264319987,1.0,1.0,-0.029540273556230994,m_y=0,IV,plugin,0.2
2,-0.5864134363060346,0.6109769313187476,-0.2025776383404252,0.22714113335313812,1.0,1.0,-0.009507849402798252,m_a=0,IV,plugin,0.2
3,-0.19833722435553475,0.1718314389147099,-0.1983372243555348,0.1718314389147099,1.0,1.0,-0.011249648295591108,m_a=1,IV,plugin,0.2
4,-0.3769418653085436,0.37714186530854366,-0.18391084251163864,0.18411084251163862,1.0,1.0,-0.00835000000000001,m_u,IV,plugin,0.2
0,-0.6053134439004003,0.2469230417472022,-0.43425792370826616,0.09402568151614923,1.0,1.0,-0.07921412895809382,m_y=1,IV,plugin,0.4
1,-0.561007940513705,0.2383283636792708,-0.3818699506516167,0.08582083679993255,1.0,1.0,-0.08206308120026845,m_y=0,IV,plugin,0.4
2,-0.5829838077582077,0.5973733361427784,-0.23409702018085138,0.24848654856542224,1.0,1.0,0.004651998778085753,m_a=0,IV,plugin,0.4
3,-0.18543736627213944,0.16436193784737219,-0.1854373662721394,0.16436193784737227,1.0,1.0,-0.0009260029365606992,m_a=1,IV,plugin,0.4
4,-0.3490422702093731,0.34964227020937316,-0.1743023226512542,0.17490232265125422,1.0,1.0,0.0049000000000000155,m_u,IV,plugin,0.4
0,-0.615835613716788,0.27089977257216574,-0.43639577502944993,0.11873051586778345,1.0,1.0,-0.07201926096514184,m_y=1,IV,plugin,0.4
1,-0.5705633453078212,0.26476172605111586,-0.3817927971329185,0.11252903565843375,1.0,1.0,-0.05637982195845699,m_y=0,IV,plugin,0.4
2,-0.5972522213542839,0.6103647440648348,-0.23494299299439617,0.2480555157049471,1.0,1.0,-0.0059809789171534344,m_a=0,IV,plugin,0.4
3,-0.19318500765112337,0.17060541030128784,-0.19318500765112329,0.1706054103012879,1.0,1.0,-0.009115278626000756,m_a=1,IV,plugin,0.4
4,-0.3644096730669398,0.3617096730669398,-0.18566441525558913,0.18296441525558915,1.0,1.0,-0.004949999999999996,m_u,IV,plugin,0.4
0,-0.5690131661315981,0.2527812552808398,-0.4013880610079661,0.10623713066306195,1.0,1.0,-0.07224374411056432,m_y=1,IV,plugin,0.4
1,-0.5342772166084524,0.23744211503691104,-0.36177843366883217,0.09074890601448986,1.0,1.0,-0.06593932433725713,m_y=0,IV,plugin,0.4
2,-0.5665690991512689,0.5861000541234415,-0.2195738606822688,0.2391048156544414,1.0,1.0,-0.0003477219945796639,m_a=0,IV,plugin,0.4
3,-0.1805347804089516,0.16495063643378458,-0.1805347804089516,0.16495063643378463,1.0,1.0,-0.005241628233056073,m_a=1,IV,plugin,0.4
4,-0.3427383648877539,0.34973836488775395,-0.16969183946326366,0.17669183946326364,1.0,1.0,-4.999999999999449e-05,m_u,IV,plugin,0.4
0,-0.5744691112178006,0.24695502175312312,-0.4075476363972568,0.09821357888129818,1.0,1.0,-0.0780755433635788,m_y=1,IV,plugin,0.4
1,-0.5394384619171001,0.22889053791003483,-0.36829753525414705,0.08017205429740257,1.0,1.0,-0.08097319901159478,m_y=0,IV,plugin,0.4
2,-0.5664068576232817,0.5818764181220051,-0.22378131074762225,0.23925087124634548,1.0,1.0,0.004329970084750112,m_a=0,IV,plugin,0.4
3,-0.17696972572108144,0.1688014717982221,-0.17696972572108138,0.16880147179822216,1.0,1.0,-0.0007611193799925142,m_a=1,IV,plugin,0.4
4,-0.3392769817731048,0.34907698177310487,-0.1656343546165205,0.17543435461652054,1.0,1.0,0.005600000000000022,m_u,IV,plugin,0.4
0,-0.5646562366394182,0.2615825256353105,-0.3919895125754361,0.11213482005119653,1.0,1.0,-0.06955886953801228,m_y=1,IV,plugin,0.4
1,-0.5281629436038675,0.25085971258558626,-0.348389996496841,0.10098371077019355,1.0,1.0,-0.07040630102775912,m_y=0,IV,plugin,0.4
2,-0.5891584956490016,0.5836904444290435,-0.23158317045671611,0.22611511923675823,1.0,1.0,0.0033461543882828404,m_a=0,IV,plugin,0.4
3,-0.17618866773723654,0.17375166095749828,-0.17618866773723663,0.17375166095749822,1.0,1.0,-0.0018528763950159677,m_a=1,IV,plugin,0.4
4,-0.3526379851796754,0.3549379851796755,-0.1724379000490232,0.1747379000490233,1.0,1.0,0.003300000000000025,m_u,IV,plugin,0.4
0,-0.5930592081677541,0.25279679232793306,-0.4217453376552552,0.10231484389290055,1.0,1.0,-0.08992541233322826,m_y=1,IV,plugin,0.4
1,-0.5543373658667873,0.24189935961884065,-0.3765615698230408,0.09152611481977031,1.0,1.0,-0.07422955824825873,m_y=0,IV,plugin,0.4
2,-0.6024318812342626,0.6011819240327306,-0.24810879284629267,0.2468588356447608,1.0,1.0,-0.005378194419539684,m_a=0,IV,plugin,0.4
3,-0.18097705424925245,0.17479110321079303,-0.18097705424925242,0.17479110321079303,1.0,1.0,-0.009588023240720944,m_a=1,IV,plugin,0.4
4,-0.3535459841912757,0.35654598419127564,-0.1764730207693877,0.1794730207693877,1.0,1.0,-0.0039000000000000007,m_u,IV,plugin,0.4
0,-0.5805948130122139,0.2553446933804676,-0.40959065330500355,0.10642070433758088,1.0,1.0,-0.07095018836333196,m_y=1,IV,plugin,0.4
1,-0.5413412877770651,0.24102531545445602,-0.36463369675463897,0.09212098658735804,1.0,1.0,-0.07018383761011104,m_y=0,IV,plugin,0.4
