g,s,metric,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,selection_rate,size
x_black_65+ y.o.,1,m_u,-0.2533515455407098,0.036977276534861825,-0.21311198405891663,-0.0032622849469312876,0.0,0.0,0.2953216374269006,0.39108187134502925,0.03771661569826708
x_black_65+ y.o.,1,m_y=0,0.6653027906088599,0.7713067293251915,0.6655520487303457,0.7715164993007868,0.0,0.0,0.5,0.39108187134502925,0.03771661569826708
x_black_65+ y.o.,1,m_y=1,0.23584457057185682,0.3631114698375396,0.25615568704109176,0.3468221547219219,1.0,1.0,0.33126934984520123,0.39108187134502925,0.03771661569826708
x_black_65+ y.o.,2,m_a=0,-0.4583434135239058,-0.07970977870385154,-0.3655466578739851,-0.17250653435377208,0.5,0.0,-0.04904306220095694,0.3792626728110599,0.03363914373088685
x_black_65+ y.o.,2,m_a=1,-0.19522729999476396,-0.06164262034248125,-0.19522729999476396,-0.0616426203424812,0.5,0.5,-0.0488095238095238,0.3792626728110599,0.03363914373088685
x_black_65+ y.o.,2,m_u,-0.27641059418986547,0.004521193268206436,-0.21875687065968222,-0.05313253026197676,0.0,0.0,0.1824884792626728,0.3792626728110599,0.03363914373088685
x_black_65+ y.o.,2,m_y=0,0.5245920510867077,0.6601050629969996,0.5245920510867077,0.6601050629969996,0.0,0.0,1.0,0.3792626728110599,0.03363914373088685
x_black_65+ y.o.,2,m_y=1,0.10731124141629694,0.25261332381935386,0.13831513764838566,0.22691729012744905,1.0,0.5,0.2196078431372549,0.3792626728110599,0.03363914373088685
x_black_65+ y.o.,3,m_a=0,-0.6397521324561402,-0.2288031800973741,-0.559045573684388,-0.30950973886912614,0.0,0.0,-0.05131578947368421,0.43996710526315785,0.03567787971457696
x_black_65+ y.o.,3,m_a=1,-0.09823507849551327,0.04824179020383901,-0.09823507849551319,0.04824179020383914,1.0,1.0,-0.04166666666666674,0.43996710526315785,0.03567787971457696
x_black_65+ y.o.,3,m_u,-0.2932124595579433,0.00044930166320628073,-0.2477283363660536,-0.045034821528683266,0.0,0.0,0.19901315789473684,0.43996710526315785,0.03567787971457696
x_black_65+ y.o.,3,m_y=0,0.6379154631027907,0.7499125588983543,0.6379154631027907,0.7499125588983543,0.0,0.0,1.0,0.43996710526315785,0.03567787971457696
x_black_65+ y.o.,3,m_y=1,0.1738417546959657,0.3019637353207678,0.19589026753214064,0.28398083277957953,1.0,1.0,0.23452484742807325,0.43996710526315785,0.03567787971457696
x_black_65+ y.o.,4,m_a=0,-0.7578874721357074,-0.33962177080244965,-0.7021005281575045,-0.39540871478065254,0.0,0.0,-0.02631578947368421,0.5218253968253967,0.03618756371049949
x_black_65+ y.o.,4,m_a=1,-0.07566463860587652,0.059412237898683995,-0.07566463860587651,0.05941223789868399,1.0,1.0,-0.016666666666666663,0.5218253968253967,0.03618756371049949
x_black_65+ y.o.,4,m_u,-0.26158313283613627,0.006821228074231633,-0.23547497236086515,-0.019286932401039625,0.0,0.0,0.25277777777777777,0.5218253968253967,0.03618756371049949
x_black_65+ y.o.,4,m_y=0,0.7538765014871056,0.8393365764735718,0.7541542510369184,0.839568459351625,0.0,0.0,0.5,0.5218253968253967,0.03618756371049949
x_black_65+ y.o.,4,m_y=1,0.212050443667116,0.322375996224704,0.22655201411151607,0.31064046147105984,1.0,1.0,0.27142857142857146,0.5218253968253967,0.03618756371049949
x_black_65+ y.o.,5,m_a=0,-0.5493211747572904,-0.16472453547976845,-0.5061725239200784,-0.20787318631698035,0.0,0.0,-0.07380952380952381,0.385752688172043,0.03414882772680938
x_black_65+ y.o.,5,m_a=1,-0.1747976418632015,-0.02882785751937511,-0.1747976418632014,-0.028827857519375,1.0,1.0,-0.0557029177718833,0.385752688172043,0.03414882772680938
x_black_65+ y.o.,5,m_u,-0.2501324254457437,0.04224712078624543,-0.22395210024227338,0.016066795582775184,0.0,0.0,0.34408602150537637,0.385752688172043,0.03414882772680938
x_black_65+ y.o.,5,m_y=0,0.7811390068651376,0.8582302448105606,0.7811390068651376,0.8582302448105606,0.0,0.0,1.0,0.385752688172043,0.03414882772680938
x_black_65+ y.o.,5,m_y=1,0.31555659763548083,0.42872690091441584,0.3285367583213491,0.4186510694346687,1.0,1.0,0.4098522167487685,0.385752688172043,0.03414882772680938
x_black_65+ y.o.,6,m_a=0,-0.427716222189287,-0.013356174167389656,-0.363753930599102,-0.07731846575757473,0.5,0.5,-0.021739130434782608,0.3610641891891892,0.035168195718654434
x_black_65+ y.o.,6,m_a=1,-0.1369402169904912,0.0019081585817805613,-0.1369402169904911,0.0019081585817806194,1.0,1.0,-0.018518518518518545,0.3610641891891892,0.035168195718654434
x_black_65+ y.o.,6,m_u,-0.18841929645907446,0.10733821537799337,-0.14762530145517525,0.06654422037409416,0.0,0.0,0.3830236486486487,0.3610641891891892,0.035168195718654434
x_black_65+ y.o.,6,m_y=0,0.6845413889507412,0.792668447498844,0.6847906482317843,0.7928795292597568,0.0,0.0,0.5,0.3610641891891892,0.035168195718654434
x_black_65+ y.o.,6,m_y=1,0.3320783633850545,0.45837746406675256,0.35276239028626183,0.4420699367654738,1.0,1.0,0.40104166666666663,0.3610641891891892,0.035168195718654434
x_black_65+ y.o.,7,m_a=0,-0.409652934137489,-0.03856707270440607,-0.35877697227586647,-0.08944303456602838,0.5,0.0,-0.025,0.32619047619047614,0.029561671763506624
x_black_65+ y.o.,7,m_a=1,-0.23700008461223293,-0.09336583277071103,-0.23700008461223288,-0.09336583277071099,0.0,0.0,-0.02380952380952378,0.32619047619047614,0.029561671763506624
x_black_65+ y.o.,7,m_u,-0.2326624795219796,0.058852955712455635,-0.1984025355402506,0.024593011730726838,0.0,0.0,0.41309523809523807,0.32619047619047614,0.029561671763506624
x_black_65+ y.o.,7,m_y=0,0.7061365934962187,0.8043771732245383,0.7063931499284986,0.8045913179248003,0.0,0.0,0.5,0.32619047619047614,0.029561671763506624
x_black_65+ y.o.,7,m_y=1,0.3045641472457875,0.4303026701482206,0.3215253861089803,0.4171914334501499,0.5,0.5,0.4388888888888889,0.32619047619047614,0.029561671763506624
x_black_65+ y.o.,8,m_a=0,-0.49701037633520523,-0.13713615206185042,-0.4305151498383525,-0.2036313785587032,0.0,0.0,-0.045548654244306416,0.4021978021978022,0.03771661569826708
x_black_65+ y.o.,8,m_a=1,-0.186255563071055,-0.05750973106295476,-0.18625556307105495,-0.05750973106295473,0.0,0.0,-0.03840579710144926,0.4021978021978022,0.03771661569826708
x_black_65+ y.o.,8,m_u,-0.25330459548045875,0.007883350059213368,-0.21348235300577156,-0.031938892415473846,0.0,0.0,0.25677655677655675,0.4021978021978022,0.03771661569826708
x_black_65+ y.o.,8,m_y=0,0.6499171325144074,0.7613029384383613,0.6499171325144074,0.7613029384383613,0.0,0.0,1.0,0.4021978021978022,0.03771661569826708
x_black_65+ y.o.,8,m_y=1,0.18449261170914236,0.3115443614073736,0.20635536859502376,0.2937050928708565,1.0,0.5,0.29179566563467496,0.4021978021978022,0.03771661569826708
x_black_65+ y.o.,9,m_a=0,-0.6521555529816425,-0.22801424053764163,-0.5710890515809994,-0.3090807419382847,0.0,0.0,-0.11764705882352941,0.47679924242424243,0.033129459734964326
x_black_65+ y.o.,9,m_a=1,-0.08249958169576094,0.05502552138545125,-0.08249958169576088,0.05502552138545125,0.5,0.5,-0.08514492753623193,0.47679924242424243,0.033129459734964326
x_black_65+ y.o.,9,m_u,-0.2800925331164614,0.0035773816013097703,-0.2376667462932547,-0.03884840522189684,0.0,0.0,0.1231060606060606,0.47679924242424243,0.033129459734964326
x_black_65+ y.o.,9,m_y=0,0.6391253024626065,0.750725728087962,0.6391253024626065,0.750725728087962,0.0,0.0,1.0,0.47679924242424243,0.033129459734964326
x_black_65+ y.o.,9,m_y=1,0.16704220151535737,0.2918116345782552,0.1888406257819042,0.2738998136928142,1.0,0.5,0.1967741935483871,0.47679924242424243,0.033129459734964326
x_black_65+ y.o.,10,m_a=0,-0.6249063860259563,-0.17785522489804034,-0.5519287911367103,-0.2508328197872863,0.0,0.0,-0.03333333333333333,0.4550342130987292,0.03261977573904179
x_black_65+ y.o.,10,m_a=1,-0.05765822375942492,0.08492728730473542,-0.05765822375942493,0.0849272873047353,0.5,0.5,-0.020833333333333315,0.4550342130987292,0.03261977573904179
x_black_65+ y.o.,10,m_u,-0.22795681965309245,0.07057656549864472,-0.18792849775358503,0.030548243599137354,0.0,0.0,0.2785923753665689,0.4550342130987292,0.03261977573904179
x_black_65+ y.o.,10,m_y=0,0.6812254334082628,0.7882469597631914,0.6814661761894678,0.7884534919645423,0.0,0.0,0.5,0.4550342130987292,0.03261977573904179
x_black_65+ y.o.,10,m_y=1,0.25845688395741817,0.3825895772323041,0.27875355854455985,0.36630089489896744,0.5,0.5,0.29848484848484846,0.4550342130987292,0.03261977573904179
x_black_65+ y.o.,11,m_a=0,-0.4563347801300189,-0.039484535264949994,-0.3730477055049681,-0.12277160989000103,0.5,0.5,-0.02380952380952381,0.3939393939393939,0.03363914373088685
x_black_65+ y.o.,11,m_a=1,-0.1364151955892522,-0.0020361010450884454,-0.13641519558925225,-0.002036101045088428,0.5,0.5,-0.021739130434782594,0.3939393939393939,0.03363914373088685
x_black_65+ y.o.,11,m_u,-0.22218866880340432,0.07067351728825283,-0.1714143437486009,0.01989919223344938,0.0,0.0,0.28787878787878785,0.3939393939393939,0.03363914373088685
